,rank,mesh,ranks,omp_threads,ranks_per_node,timesteps,dt,max_iters,mesh_s,mesh_peakmem_mb,setup_s,setup_peakmem_mb,solve_s,solve_peakmem_mb,total_s,kern_0,kern_1,kern_2,SchurInv_kern
0,0,256,16,1,42,100,5e-06,100,0.7652945518493652,370.3125,11.604142665863035,395.375,71.46215319633485,396.3125,83.83159041404723,0.002384335035458207,0.00035723205655813217,1.1799857020378113e-06,46.147573283407844
1,1,256,16,1,42,100,5e-06,100,0.765329122543335,325.3125,11.60239291191101,355.5625,71.46291017532349,374.625,83.83063220977783,0.002237789100036025,0.0005137189291417599,1.3730023056268692e-06,46.31443377328105
2,2,256,16,1,42,100,5e-06,100,0.765493631362915,325.125,11.603428602218628,355.875,71.46283984184267,375.25,83.83176207542421,0.002241911832243204,0.0005077021196484567,1.485925167798996e-06,45.82340533100069
3,3,256,16,1,42,100,5e-06,100,0.7656273841857909,325.625,11.603392124176025,356.25,71.4628884792328,374.4375,83.83190798759459,0.002288636052981019,0.00046069105155766016,1.5071127563714981e-06,45.843597019091256
4,4,256,16,1,42,100,5e-06,100,0.7651088237762451,325.375,11.603407859802244,356.0625,71.4606373310089,375.75,83.8291540145874,0.002517098793759942,0.0002339680213481188,1.2579839676618576e-06,45.832365697715424
5,5,256,16,1,42,100,5e-06,100,0.7653696537017822,325.875,11.603692770004272,356.0,71.46288537979127,375.3125,83.83194780349731,0.0022920831106603146,0.0004581401590257883,1.844950020313263e-06,46.01887281588279
6,6,256,16,1,42,100,5e-06,100,0.765547513961792,325.75,11.603314876556395,355.9375,71.45995354652405,375.125,83.82881593704224,0.002293734112754464,0.00045491196215152735,1.68592669069767e-06,46.23352507012896
7,7,256,16,1,42,100,5e-06,100,0.7656891345977783,325.6875,11.603261947631836,356.0625,71.46289420127869,374.9375,83.8318452835083,0.002239783061668277,0.000512351980432868,1.4861579984426496e-06,46.19704771204851
8,8,256,16,1,42,100,5e-06,100,0.765458345413208,325.4375,11.603087425231935,356.0625,71.46246957778929,375.6875,83.83101534843446,0.002270453842356801,0.00048147281631827354,1.2521632015705109e-06,46.01549481740222
9,9,256,16,1,42,100,5e-06,100,0.7654833793640137,325.625,11.603150129318236,356.3125,71.46249008178711,376.0,83.83112359046936,0.0022601610980927944,0.0004906719550490379,1.5350524336099625e-06,46.26603592466563
10,10,256,16,1,42,100,5e-06,100,0.7655429840087891,325.625,11.602892637252808,356.375,71.46063995361328,374.9375,83.82907557487488,0.002238600980490446,0.0005129990167915821,1.5660189092159271e-06,45.869103000499315
11,11,256,16,1,42,100,5e-06,100,0.7651422023773193,325.75,11.603754997253418,356.125,71.46192860603333,375.25,83.83082580566406,0.0022794881369918585,0.0004723330494016409,1.2139789760112762e-06,46.134172728285186
12,12,256,16,1,42,100,5e-06,100,0.765751838684082,325.75,11.603752851486206,356.625,71.4622950553894,375.1875,83.83179974555968,0.0022717469837516546,0.00047897896729409695,1.8239952623844147e-06,45.80102021060885
13,13,256,16,1,42,100,5e-06,100,0.7656939029693604,325.5,11.603248834609985,356.375,71.46290802955626,376.625,83.83185076713563,0.0023036908823996787,0.00044606602750718594,1.5210825949907303e-06,45.90808815462515
14,14,256,16,1,42,100,5e-06,100,0.7654395103454591,325.6875,11.603129148483276,356.25,71.46284437179565,376.375,83.83141303062439,0.0022876330185681577,0.0004640950355678797,1.103850081562996e-06,45.91063762851991
15,15,256,16,1,42,100,5e-06,100,0.7657160758972168,325.625,11.602498531341553,356.0625,71.45518827438354,375.0,83.82340288162231,0.0022485561203211546,0.0005037728697061539,1.085922122001648e-06,46.21092455810867
0,0,256,1,1,42,100,5e-06,100,0.4847407341003418,347.3125,13.255796432495115,449.8125,468.4378838539123,622.9375,482.1784210205078,0.02874511084519327,2.042902633547783e-05,1.403968781232834e-06,294.65948398201726
0,0,256,1,16,42,100,5e-06,100,0.4834718704223633,346.3125,12.43022894859314,453.625,256.0998830795288,622.0,269.0135838985443,0.028757182182744145,1.9609928131103516e-05,1.2991949915885923e-06,75.12977775046602
0,0,256,1,2,42,100,5e-06,100,0.4873802661895752,346.25,13.400632381439207,452.5625,373.8357856273651,626.625,387.7237982749939,0.02866471093147993,1.9575003534555435e-05,1.3969838619232178e-06,195.3907368557993
0,0,256,1,24,42,100,5e-06,100,0.4882235527038574,342.6875,14.401969909667967,453.6875,277.01437187194824,622.0625,291.90456533432007,0.028785865986719724,2.0636944100260735e-05,1.4510005712509157e-06,96.30791407916695
0,0,256,1,32,42,100,5e-06,100,0.4863438606262207,346.375,12.100977897644045,453.5625,293.86366677284235,616.5,306.45098853111267,0.0287967580370605,2.2141961380839348e-05,1.3390090316534042e-06,109.42106578312814
