mesh,ranks,ranks_per_node,mesh_s,setup_s,solve_s,total_s
96,16,64,2.7346582412719727,4.062519073486328,54.077863454818726,60.875040769577026
96,2,64,0.7439494132995605,6.398519515991211,129.42191791534424,136.564386844635
96,32,64,4.8328471183776855,5.242928504943848,50.92865777015686,61.004433393478394
96,4,64,1.1073477268218994,4.426321983337402,90.27623224258423,95.80990195274353
96,64,64,6.504090309143066,5.2503821849823,55.25937533378601,67.01384782791138
96,8,64,1.660435438156128,4.72754979133606,69.51152014732361,75.8995053768158
128,16,64,2.954758882522583,4.960608959197998,75.4418797492981,83.35724759101868
128,32,64,4.418240070343018,4.5622382164001465,59.89534783363342,68.87582612037659
128,48,64,5.6601645946502686,5.331094741821289,61.44951319694519,72.44077253341675
128,64,64,6.209951877593994,4.996446371078491,70.62182641029358,81.82822465896606
128,8,64,2.004023790359497,4.287563800811768,100.2284767627716,106.52006435394287
256,16,64,5.264566659927368,5.3689470291137695,169.09646463394165,179.7299783229828
256,32,64,7.050041913986206,6.121983289718628,120.66499185562134,133.83701705932617
256,48,64,8.354470491409302,5.038304567337036,100.72178530693054,114.11456036567688
256,64,64,8.954280853271484,6.250787258148193,119.43087244033813,134.6359405517578
256,8,64,4.445245981216431,5.407871723175049,247.1936013698578,257.04671907424927
512,16,64,16.031246185302734,8.318896770477295,452.74471735954285,477.0948603153229
512,32,64,17.493535041809082,7.994646787643433,294.179425239563,319.6676070690155
512,48,64,17.7276611328125,7.601158857345581,221.21648621559143,246.5453062057495
512,64,64,21.117563009262085,7.440216541290283,201.4156379699707,229.97341752052307
512,96,64,22.328505277633667,9.262779712677002,272.63239431381226,304.2236793041229
1024,128,64,68.0479166507721,10.284457921981812,386.883323431015,465.2156980037689
1024,16,64,59.93981575965881,13.56353211402893,1401.1666662693024,1474.67001414299
1024,192,64,72.55575513839722,11.041210889816284,602.0811009407043,685.6780669689178
1024,32,64,58.79202842712402,10.60023808479309,854.1571056842804,923.5493721961975
1024,48,64,60.40889358520508,10.243084192276001,586.4084713459015,657.0604491233826
1024,64,64,65.4548180103302,9.509423732757568,470.57316875457764,545.5374104976654
1024,96,64,60.617531299591064,10.667434930801392,463.8805811405182,535.1655473709106
2048,128,64,256.8581075668335,14.887060642242432,1497.7707631587982,1769.5159313678741
2048,192,64,269.91803216934204,13.608924388885498,1218.558622598648,1502.0855791568756
2048,256,64,277.97725558280945,14.257095336914062,967.1418533325195,1259.376204252243
2048,320,64,282.2814953327179,11.945051193237305,911.7702131271362,1205.9967596530914
2048,384,64,288.516964673996,12.475589990615845,784.6611411571503,1085.653695821762
2048,512,64,302.13468408584595,12.412989377975464,762.3434839248657,1076.8911573886871
2048,64,64,251.10581421852112,16.174326419830322,2277.2994406223297,2544.579581260681
4096,128,64,967.5549471378326,25.917201280593872,nan,nan
4096,256,64,1086.7511947154999,19.861083269119263,nan,nan
4096,320,64,1127.4975945949554,17.958085775375366,2158.0345714092255,3303.4902517795563
4096,384,64,1129.183841228485,15.57949161529541,1914.6311039924622,3059.3944368362427
4096,448,64,1163.6055071353912,15.562900066375732,1748.9450089931488,2928.1134161949158
4096,512,64,1172.6363620758057,15.066223382949829,1651.8166205883026,2839.519206047058
4096,64,64,1056.2115542888641,42.07734704017639,nan,nan
6144,384,64,2610.8074011802673,23.29494595527649,nan,nan
6144,512,64,2679.964412212372,21.10345959663391,nan,nan
6144,64,64,2486.8310599327087,89.73811960220337,nan,nan
