solver,mesh,nproc,nthread,trial,time
mumps,128,1,1,0,5.92470908164978
mumps,128,1,1,1,5.900205612182617
mumps,128,1,2,0,6.3083155155181885
mumps,128,1,2,1,6.242919921875
mumps,128,1,4,0,7.02884840965271
mumps,128,1,4,1,6.960182428359985
mumps,128,1,6,0,8.242812156677246
mumps,128,1,6,1,7.898590564727783
mumps,128,1,8,0,9.30561089515686
mumps,128,1,8,1,9.013519048690796
mumps,128,1,12,0,17.17479133605957
mumps,128,1,12,1,16.900896549224854
mumps,128,1,16,0,21.10795545578003
mumps,128,1,16,1,21.24722909927368
mumps,128,1,24,0,23.6640362739563
mumps,128,1,24,1,23.590141534805298
mumps,128,1,32,0,25.308045148849487
mumps,128,1,32,1,25.454598903656006
mumps,128,2,1,0,3.7150180339813232
mumps,128,2,1,1,3.725755214691162
mumps,128,2,2,0,3.945507287979126
mumps,128,2,2,1,3.9176154136657715
mumps,128,2,4,0,4.593831777572632
mumps,128,2,4,1,4.500499486923218
mumps,128,2,6,0,5.033376455307007
mumps,128,2,6,1,4.985712051391602
mumps,128,2,8,0,5.604618549346924
mumps,128,2,8,1,5.66498064994812
mumps,128,2,12,0,10.204864501953125
mumps,128,2,12,1,10.313360929489136
mumps,128,2,16,0,11.65455436706543
mumps,128,2,16,1,11.716070652008057
mumps,128,4,1,0,2.4891672134399414
mumps,128,4,1,1,2.5399930477142334
mumps,128,4,2,0,3.3165249824523926
mumps,128,4,2,1,2.882789134979248
mumps,128,4,4,0,3.0423481464385986
mumps,128,4,4,1,2.9548609256744385
mumps,128,4,6,0,4.92182469367981
mumps,128,4,6,1,5.260701417922974
mumps,128,4,8,0,5.245414972305298
mumps,128,4,8,1,5.229999542236328
mumps,128,6,1,0,2.2310409545898438
mumps,128,6,1,1,2.258457660675049
mumps,128,6,2,0,2.3586068153381348
mumps,128,6,2,1,2.1982240676879883
mumps,128,6,4,0,3.511218309402466
mumps,128,6,4,1,2.958928346633911
mumps,128,8,1,0,2.0210349559783936
mumps,128,8,1,1,2.0220015048980713
mumps,128,8,2,0,2.0484559535980225
mumps,128,8,2,1,2.0823819637298584
mumps,128,8,4,0,3.1049745082855225
mumps,128,8,4,1,2.907118558883667
mumps,128,12,1,0,1.8127522468566895
mumps,128,12,1,1,1.9118516445159912
mumps,128,12,2,0,2.2940123081207275
mumps,128,12,2,1,2.128951072692871
mumps,128,16,1,0,1.6945550441741943
mumps,128,16,1,1,1.7168402671813965
mumps,128,16,2,0,2.1497645378112793
mumps,128,16,2,1,1.9877383708953857
mumps,128,24,1,0,2.1215150356292725
mumps,128,24,1,1,2.013209819793701
mumps,128,32,1,0,2.3725833892822266
mumps,128,32,1,1,2.006821632385254
superlu_dist,128,1,1,0,6.433847188949585
superlu_dist,128,1,1,1,6.344192266464233
superlu_dist,128,1,2,0,5.701769828796387
superlu_dist,128,1,2,1,5.720124959945679
superlu_dist,128,1,4,0,5.380640983581543
superlu_dist,128,1,4,1,5.373661994934082
superlu_dist,128,1,6,0,5.420997858047485
superlu_dist,128,1,6,1,5.34329628944397
superlu_dist,128,1,8,0,5.582286834716797
superlu_dist,128,1,8,1,5.518667459487915
superlu_dist,128,1,12,0,7.685974836349487
superlu_dist,128,1,12,1,7.675083637237549
superlu_dist,128,1,16,0,8.721537113189697
superlu_dist,128,1,16,1,8.79389500617981
superlu_dist,128,1,24,0,9.731942653656006
superlu_dist,128,1,24,1,9.68021845817566
superlu_dist,128,1,32,0,10.25272011756897
superlu_dist,128,1,32,1,10.095198631286621
superlu_dist,128,2,1,0,4.2798011302948
superlu_dist,128,2,1,1,4.49971604347229
superlu_dist,128,2,2,0,4.08889102935791
superlu_dist,128,2,2,1,4.165081262588501
superlu_dist,128,2,4,0,4.03330135345459
superlu_dist,128,2,4,1,4.042224645614624
superlu_dist,128,2,6,0,4.859857559204102
superlu_dist,128,2,6,1,4.477130174636841
superlu_dist,128,2,8,0,4.1067798137664795
superlu_dist,128,2,8,1,4.120605230331421
superlu_dist,128,2,12,0,6.472733974456787
superlu_dist,128,2,12,1,4.4772257804870605
superlu_dist,128,2,16,0,6.541704177856445
superlu_dist,128,2,16,1,6.6155455112457275
superlu_dist,128,4,1,0,3.5357446670532227
superlu_dist,128,4,1,1,3.5132877826690674
superlu_dist,128,4,2,0,3.4730756282806396
superlu_dist,128,4,2,1,3.494429588317871
superlu_dist,128,4,4,0,3.3197262287139893
superlu_dist,128,4,4,1,3.3555009365081787
superlu_dist,128,4,6,0,4.68407678604126
superlu_dist,128,4,6,1,4.492724180221558
superlu_dist,128,4,8,0,4.739561080932617
superlu_dist,128,4,8,1,4.705228567123413
superlu_dist,128,6,1,0,3.156766176223755
superlu_dist,128,6,1,1,3.0915915966033936
superlu_dist,128,6,2,0,2.8935611248016357
superlu_dist,128,6,2,1,2.963016986846924
superlu_dist,128,6,4,0,3.7229135036468506
superlu_dist,128,6,4,1,3.7829883098602295
superlu_dist,128,8,1,0,3.0724897384643555
superlu_dist,128,8,1,1,3.00376033782959
superlu_dist,128,8,2,0,2.7092623710632324
superlu_dist,128,8,2,1,2.7660698890686035
superlu_dist,128,8,4,0,3.403242588043213
superlu_dist,128,8,4,1,3.574223756790161
superlu_dist,128,12,1,0,2.70180344581604
superlu_dist,128,12,1,1,2.7394659519195557
superlu_dist,128,12,2,0,3.2773799896240234
superlu_dist,128,12,2,1,3.256328821182251
superlu_dist,128,16,1,0,2.634247303009033
superlu_dist,128,16,1,1,2.640573740005493
superlu_dist,128,16,2,0,3.3707115650177
superlu_dist,128,16,2,1,3.304074287414551
superlu_dist,128,24,1,0,3.3746254444122314
superlu_dist,128,24,1,1,3.489861488342285
superlu_dist,128,32,1,0,3.598712682723999
superlu_dist,128,32,1,1,3.6111879348754883
mumps,384,1,1,0,67.26666951179504
mumps,384,1,1,1,67.26203632354736
mumps,384,1,2,0,64.44732236862183
mumps,384,1,2,1,64.34933423995972
mumps,384,1,4,0,68.93124485015869
mumps,384,1,4,1,69.7509171962738
mumps,384,1,6,0,76.59060978889465
mumps,384,1,6,1,76.40239834785461
mumps,384,1,8,0,85.34381365776062
mumps,384,1,8,1,85.29214143753052
mumps,384,1,12,0,164.85612964630127
mumps,384,1,12,1,154.60963916778564
mumps,384,1,16,0,194.09761881828308
mumps,384,1,16,1,195.07850766181946
mumps,384,1,24,0,214.52386736869812
mumps,384,1,24,1,218.73730516433716
mumps,384,1,32,0,234.43595027923584
mumps,384,1,32,1,234.11839771270752
mumps,384,2,1,0,42.39414119720459
mumps,384,2,1,1,42.54948616027832
mumps,384,2,2,0,40.577200174331665
mumps,384,2,2,1,40.332196950912476
mumps,384,2,4,0,46.13347554206848
mumps,384,2,4,1,44.60349702835083
mumps,384,2,6,0,49.19391393661499
mumps,384,2,6,1,48.608704805374146
mumps,384,2,8,0,48.716055154800415
mumps,384,2,8,1,48.835177421569824
mumps,384,2,12,0,95.36489295959473
mumps,384,2,12,1,93.36007380485535
mumps,384,2,16,0,100.67325353622437
mumps,384,2,16,1,113.57924842834473
mumps,384,4,1,0,29.468755960464478
mumps,384,4,1,1,27.709123849868774
mumps,384,4,2,0,30.01568841934204
mumps,384,4,2,1,28.45837664604187
mumps,384,4,4,0,28.67554807662964
mumps,384,4,4,1,28.768553972244263
mumps,384,4,6,0,41.12635779380798
mumps,384,4,6,1,45.46583890914917
mumps,384,4,8,0,52.390817642211914
mumps,384,4,8,1,50.005253076553345
mumps,384,6,1,0,26.08338737487793
mumps,384,6,1,1,25.251814126968384
mumps,384,6,2,0,22.78854250907898
mumps,384,6,2,1,25.461233615875244
mumps,384,6,4,0,33.68837285041809
mumps,384,6,4,1,30.612574338912964
mumps,384,8,1,0,22.610357522964478
mumps,384,8,1,1,22.409181833267212
mumps,384,8,2,0,20.412944316864014
mumps,384,8,2,1,20.26718831062317
mumps,384,8,4,0,27.093111276626587
mumps,384,8,4,1,25.825385332107544
mumps,384,12,1,0,19.214158058166504
mumps,384,12,1,1,19.27445125579834
mumps,384,12,2,0,20.40522265434265
mumps,384,12,2,1,20.754326581954956
mumps,384,16,1,0,17.930387020111084
mumps,384,16,1,1,17.81060481071472
mumps,384,16,2,0,19.33381676673889
mumps,384,16,2,1,20.388465881347656
mumps,384,24,1,0,20.709614515304565
mumps,384,24,1,1,20.16630244255066
mumps,384,32,1,0,19.592559099197388
mumps,384,32,1,1,19.906288623809814
superlu_dist,384,1,1,0,85.73809051513672
superlu_dist,384,1,1,1,85.40626287460327
superlu_dist,384,1,2,0,72.75318932533264
superlu_dist,384,1,2,1,72.77701473236084
superlu_dist,384,1,4,0,65.15064764022827
superlu_dist,384,1,4,1,65.11521077156067
superlu_dist,384,1,6,0,63.1893105506897
superlu_dist,384,1,6,1,63.57166528701782
superlu_dist,384,1,8,0,64.34685039520264
