mpirun -n 2 --map-by node /scratch2/acolin/casper/gpref/gp-broadwell/usr/libexec/osu-micro-benchmarks/mpi/collective/osu_allgather

# OSU MPI Allgather Latency Test v5.6.3
# Size       Avg Latency(us)
1                       2.93
2                       2.43
4                       2.08
8                       2.40
16                      2.23
32                      2.25
64                      2.26
128                     3.13
256                     3.23
512                     3.40
1024                    3.86
2048                    4.68
4096                    5.00
8192                    6.84
16384                   8.98
32768                  14.16
65536                  22.03
131072                 40.18
262144                 75.44
524288                148.58
1048576               279.72
mpirun -n 2 --map-by node /scratch2/acolin/casper/gpref/gp-broadwell/usr/libexec/osu-micro-benchmarks/mpi/collective/osu_allgatherv

# OSU MPI Allgatherv Latency Test v5.6.3
# Size       Avg Latency(us)
1                       2.37
2                       2.45
4                       2.13
8                       2.55
16                      2.27
32                      2.28
64                      2.46
128                     3.33
256                     3.54
512                     3.60
1024                    3.58
2048                    4.36
4096                    5.18
8192                    6.73
16384                  10.42
32768                  12.61
65536                  20.52
131072                 41.31
262144                 78.70
524288                148.27
1048576               271.34
mpirun -n 2 --map-by node /scratch2/acolin/casper/gpref/gp-broadwell/usr/libexec/osu-micro-benchmarks/mpi/collective/osu_allreduce

# OSU MPI Allreduce Latency Test v5.6.3
# Size       Avg Latency(us)
4                       2.44
8                       2.54
16                      2.19
32                      2.22
64                      2.37
128                     3.27
256                     3.54
512                     3.56
1024                    3.77
2048                    4.96
4096                    9.78
8192                    7.27
16384                  14.31
32768                  20.24
65536                  28.85
131072                 50.06
262144                 92.91
524288                185.30
1048576               341.30
mpirun -n 2 --map-by node /scratch2/acolin/casper/gpref/gp-broadwell/usr/libexec/osu-micro-benchmarks/mpi/collective/osu_alltoall

# OSU MPI All-to-All Personalized Exchange Latency Test v5.6.3
# Size       Avg Latency(us)
1                       2.52
2                       2.47
4                       2.12
8                       2.13
16                      2.12
32                      2.31
64                      2.61
128                     3.34
256                     3.28
512                     3.76
1024                    3.92
2048                    4.59
4096                    5.25
8192                    6.71
16384                   9.00
32768                  13.05
65536                  21.34
131072                 42.00
262144                 74.16
524288                152.32
1048576               277.09
mpirun -n 2 --map-by node /scratch2/acolin/casper/gpref/gp-broadwell/usr/libexec/osu-micro-benchmarks/mpi/collective/osu_alltoallv

# OSU MPI All-to-Allv Personalized Exchange Latency Test v5.6.3
# Size       Avg Latency(us)
1                       2.34
2                       2.58
4                       2.09
8                       2.08
16                      2.09
32                      2.24
64                      2.41
128                     3.40
256                     3.35
512                     3.38
1024                    3.88
2048                    4.19
4096                    4.93
8192                    6.54
16384                   9.00
32768                  14.28
65536                  21.13
131072                 43.13
262144                 78.76
524288                155.89
1048576               281.86
mpirun -n 2 --map-by node /scratch2/acolin/casper/gpref/gp-broadwell/usr/libexec/osu-micro-benchmarks/mpi/collective/osu_barrier

# OSU MPI Barrier Latency Test v5.6.3
# Avg Latency(us)
             2.53
mpirun -n 2 --map-by node /scratch2/acolin/casper/gpref/gp-broadwell/usr/libexec/osu-micro-benchmarks/mpi/collective/osu_bcast

# OSU MPI Broadcast Latency Test v5.6.3
# Size       Avg Latency(us)
1                       2.38
2                       2.56
4                       2.04
8                       2.03
16                      2.10
32                      1.99
64                      2.06
128                     2.99
256                     2.87
512                     3.03
1024                    2.94
2048                    3.58
4096                    3.62
8192                    4.48
16384                   6.99
32768                   9.86
65536                  16.77
131072                 26.09
262144                 48.85
524288                 92.71
1048576               181.27
mpirun -n 2 --map-by node /scratch2/acolin/casper/gpref/gp-broadwell/usr/libexec/osu-micro-benchmarks/mpi/collective/osu_gather

# OSU MPI Gather Latency Test v5.6.3
# Size       Avg Latency(us)
1                       3.14
2                       2.30
4                       2.11
8                       2.03
16                      2.04
32                      2.04
64                      2.26
128                     2.44
256                     2.55
512                     3.02
1024                    2.79
2048                    3.09
4096                    3.61
8192                    4.59
16384                   5.48
32768                   7.57
65536                  11.74
131072                 26.94
262144                 68.26
524288                126.84
1048576               229.53
mpirun -n 2 --map-by node /scratch2/acolin/casper/gpref/gp-broadwell/usr/libexec/osu-micro-benchmarks/mpi/collective/osu_gatherv

# OSU MPI Gatherv Latency Test v5.6.3
# Size       Avg Latency(us)
1                       2.44
2                       2.50
4                       2.11
8                       2.06
16                      1.99
32                      2.14
64                      2.22
128                     2.57
256                     2.66
512                     2.85
1024                    3.05
2048                    3.34
4096                    3.43
8192                    4.27
16384                   5.43
32768                   9.34
65536                  13.15
131072                 21.49
262144                 75.92
524288                142.22
1048576               264.58
mpirun -n 2 --map-by node /scratch2/acolin/casper/gpref/gp-broadwell/usr/libexec/osu-micro-benchmarks/mpi/collective/osu_iallgather

# OSU MPI Non-blocking Allgather Latency Test v5.6.3
