mpirun -n 2 --map-by node --mca btl self,tcp --mca pml_ucx_priority 0 --mca btl_tcp_if_include eth0 /scratch2/acolin/casper/gpref/gp-broadwell/usr/libexec/osu-micro-benchmarks/mpi/collective/osu_allgather

# OSU MPI Allgather Latency Test v5.6.3
# Size       Avg Latency(us)
1                      49.72
2                      49.84
4                      49.74
8                      49.78
16                     50.32
32                     49.47
64                     49.70
128                    49.46
256                    51.55
512                    49.85
1024                   49.71
2048                   71.89
4096                  173.07
8192                  393.07
16384                 375.47
32768                 569.69
65536                1587.36
131072               2145.11
262144               3628.29
524288               5531.65
1048576             11103.21
mpirun -n 2 --map-by node --mca btl self,tcp --mca pml_ucx_priority 0 --mca btl_tcp_if_include eth0 /scratch2/acolin/casper/gpref/gp-broadwell/usr/libexec/osu-micro-benchmarks/mpi/collective/osu_allgatherv

# OSU MPI Allgatherv Latency Test v5.6.3
# Size       Avg Latency(us)
1                      51.38
2                      50.20
4                      49.67
8                      49.23
16                     49.21
32                     49.05
64                     49.07
128                    49.50
256                    49.87
512                    50.16
1024                   50.71
2048                  289.00
4096                  291.58
8192                  377.36
16384                 405.65
32768                 565.95
65536                1451.44
131072               2203.96
262144               3533.00
524288               5834.56
1048576              9697.84
mpirun -n 2 --map-by node --mca btl self,tcp --mca pml_ucx_priority 0 --mca btl_tcp_if_include eth0 /scratch2/acolin/casper/gpref/gp-broadwell/usr/libexec/osu-micro-benchmarks/mpi/collective/osu_allreduce

# OSU MPI Allreduce Latency Test v5.6.3
# Size       Avg Latency(us)
4                      50.60
8                      50.09
16                     49.60
32                     49.37
64                     50.02
128                    49.75
256                    49.53
512                    49.58
1024                   50.15
2048                   68.29
4096                  507.66
8192                  392.10
16384                 828.90
32768                1094.70
65536                1225.65
131072               2897.88
262144               4447.86
524288               7139.99
1048576             12220.10
mpirun -n 2 --map-by node --mca btl self,tcp --mca pml_ucx_priority 0 --mca btl_tcp_if_include eth0 /scratch2/acolin/casper/gpref/gp-broadwell/usr/libexec/osu-micro-benchmarks/mpi/collective/osu_alltoall

# OSU MPI All-to-All Personalized Exchange Latency Test v5.6.3
# Size       Avg Latency(us)
1                      50.52
2                      49.74
4                      49.43
8                      49.64
16                     49.35
32                     49.53
64                     49.35
128                    49.54
256                    50.06
512                    49.89
1024                   50.02
2048                   61.29
4096                  134.93
8192                  393.55
16384                 452.09
32768                 568.90
65536                1325.33
131072               2141.61
262144               3753.70
524288               5777.28
1048576             11357.52
