mesh,solver,pe,threads,time
64,mumps,cpu_g-6130,1,15.456414699554443
128,mumps,cpu_g-6130,1,10.661380052566528
192,mumps,cpu_g-6130,1,14.601773023605347
256,mumps,cpu_g-6130,1,25.884060382843018
320,mumps,cpu_g-6130,1,42.08075141906738
384,mumps,cpu_g-6130,1,61.37421107292175
512,mumps,cpu_g-6130,1,119.80729484558105
768,mumps,cpu_g-6130,1,293.8999123573303
1024,mumps,cpu_g-6130,1,585.4944934844971
64,superlu_dist,cpu_g-6130,1,4.035516977310181
64,superlu_dist,gpu_tesla_v100,1,4.675455808639526
128,superlu_dist,cpu_g-6130,1,8.419830799102783
128,superlu_dist,gpu_tesla_v100,1,9.37779712677002
192,superlu_dist,cpu_g-6130,1,18.949411630630493
192,superlu_dist,gpu_tesla_v100,1,19.977052688598633
256,superlu_dist,cpu_g-6130,1,32.077545166015625
256,superlu_dist,gpu_tesla_v100,1,32.23635673522949
320,superlu_dist,cpu_g-6130,1,61.8883113861084
320,superlu_dist,gpu_tesla_v100,1,57.32529139518738
384,superlu_dist,cpu_g-6130,1,88.83150887489319
384,superlu_dist,gpu_tesla_v100,1,79.48962044715881
512,superlu_dist,cpu_g-6130,1,148.16230940818787
512,superlu_dist,gpu_tesla_v100,1,135.1715211868286
768,superlu_dist,cpu_g-6130,1,430.8345754146576
768,superlu_dist,gpu_tesla_v100,1,375.00763607025146
1024,superlu_dist,cpu_g-6130,1,913.9997794628143
1024,superlu_dist,gpu_tesla_v100,1,738.0239100456238
64,pastix,cpu_g-6130,1,10.204125165939331
64,pastix,gpu_tesla_v100,1,8.798582792282104
128,pastix,cpu_g-6130,1,24.01698613166809
128,pastix,gpu_tesla_v100,1,25.4947407245636
192,pastix,cpu_g-6130,1,50.39520335197449
192,pastix,gpu_tesla_v100,1,60.56150436401367
256,pastix,cpu_g-6130,1,86.58024621009827
256,pastix,gpu_tesla_v100,1,117.64832901954651
320,pastix,cpu_g-6130,1,136.63563227653503
320,pastix,gpu_tesla_v100,1,220.9681556224823
384,pastix,cpu_g-6130,1,197.24666738510132
384,pastix,gpu_tesla_v100,1,378.0696847438812
64,mumps,cpu_e5-2640v4,1,18.14929699897766
128,mumps,cpu_e5-2640v4,1,10.737131357192993
192,mumps,cpu_e5-2640v4,1,15.072201013565063
256,mumps,cpu_e5-2640v4,1,27.28944182395935
320,mumps,cpu_e5-2640v4,1,44.22696352005005
384,mumps,cpu_e5-2640v4,1,64.05380702018738
512,mumps,cpu_e5-2640v4,1,122.72304034233093
768,mumps,cpu_e5-2640v4,1,301.6066586971283
1024,mumps,cpu_e5-2640v4,1,593.9072153568268
64,superlu_dist,cpu_e5-2640v4,1,2.7863240242004395
64,superlu_dist,gpu_tesla_p100,1,4.60798716545105
128,superlu_dist,cpu_e5-2640v4,1,8.19136929512024
128,superlu_dist,gpu_tesla_p100,1,9.054598093032837
192,superlu_dist,cpu_e5-2640v4,1,19.663037061691284
192,superlu_dist,gpu_tesla_p100,1,20.11619281768799
256,superlu_dist,cpu_e5-2640v4,1,33.62984657287598
256,superlu_dist,gpu_tesla_p100,1,33.874051332473755
320,superlu_dist,cpu_e5-2640v4,1,58.55255842208862
320,superlu_dist,gpu_tesla_p100,1,57.556281328201294
384,superlu_dist,cpu_e5-2640v4,1,88.79541659355164
384,superlu_dist,gpu_tesla_p100,1,84.46673631668091
512,superlu_dist,cpu_e5-2640v4,1,158.23144698143005
512,superlu_dist,gpu_tesla_p100,1,143.77901077270508
768,superlu_dist,cpu_e5-2640v4,1,449.90211367607117
768,superlu_dist,gpu_tesla_p100,1,406.1466507911682
1024,superlu_dist,cpu_e5-2640v4,1,904.8010275363922
1024,superlu_dist,gpu_tesla_p100,1,774.1425576210022
64,pastix,cpu_e5-2640v4,1,9.167702198028564
64,pastix,gpu_tesla_p100,1,7.529225587844849
128,pastix,cpu_e5-2640v4,1,15.165647983551025
128,pastix,gpu_tesla_p100,1,17.64342498779297
192,pastix,cpu_e5-2640v4,1,34.80765771865845
192,pastix,gpu_tesla_p100,1,41.45726466178894
256,pastix,cpu_e5-2640v4,1,61.12877416610718
256,pastix,gpu_tesla_p100,1,81.17498660087585
320,pastix,cpu_e5-2640v4,1,96.30580759048462
320,pastix,gpu_tesla_p100,1,153.1299750804901
384,pastix,cpu_e5-2640v4,1,141.49192476272583
384,pastix,gpu_tesla_p100,1,258.3138482570648
64,mumps,cpu_e5-2640v3,1,15.70815110206604
128,mumps,cpu_e5-2640v3,1,16.181737184524536
192,mumps,cpu_e5-2640v3,1,17.172972917556763
256,mumps,cpu_e5-2640v3,1,34.35307025909424
320,mumps,cpu_e5-2640v3,1,51.04444360733032
384,mumps,cpu_e5-2640v3,1,75.307870388031
512,mumps,cpu_e5-2640v3,1,143.6526916027069
768,mumps,cpu_e5-2640v3,1,358.18126797676086
1024,mumps,cpu_e5-2640v3,1,739.9026267528534
64,superlu_dist,cpu_e5-2640v3,1,7.2495503425598145
64,superlu_dist,gpu_tesla_k40,1,8.454866409301758
128,superlu_dist,cpu_e5-2640v3,1,13.15940809249878
128,superlu_dist,gpu_tesla_k40,1,10.287530422210693
192,superlu_dist,cpu_e5-2640v3,1,26.787630796432495
192,superlu_dist,gpu_tesla_k40,1,23.555869579315186
256,superlu_dist,cpu_e5-2640v3,1,47.92177081108093
256,superlu_dist,gpu_tesla_k40,1,46.20463228225708
320,superlu_dist,cpu_e5-2640v3,1,69.61234402656555
320,superlu_dist,gpu_tesla_k40,1,78.41121578216553
384,superlu_dist,cpu_e5-2640v3,1,108.5306875705719
384,superlu_dist,gpu_tesla_k40,1,106.48116683959961
512,superlu_dist,cpu_e5-2640v3,1,189.68503713607788
512,superlu_dist,gpu_tesla_k40,1,175.2282416820526
768,superlu_dist,cpu_e5-2640v3,1,541.9275197982788
768,superlu_dist,gpu_tesla_k40,1,488.4732999801636
64,pastix,cpu_e5-2640v3,1,13.632217407226562
64,pastix,gpu_tesla_k40,1,22.53343915939331
128,pastix,cpu_e5-2640v3,1,20.44562077522278
128,pastix,gpu_tesla_k40,1,23.78986930847168
192,pastix,cpu_e5-2640v3,1,38.59406757354736
192,pastix,gpu_tesla_k40,1,57.480963706970215
256,pastix,cpu_e5-2640v3,1,68.47589230537415
256,pastix,gpu_tesla_k40,1,117.73055100440979
320,pastix,cpu_e5-2640v3,1,108.09003639221191
320,pastix,gpu_tesla_k40,1,206.6047604084015
384,pastix,cpu_e5-2640v3,1,159.26288843154907
384,pastix,gpu_tesla_k40,1,368.7380795478821
