mesh,solver,pe,threads,runtime
64,mumps,cpu_e5-2670,1,2.5752646923065186
128,mumps,cpu_e5-2670,1,9.459191799163818
192,mumps,cpu_e5-2670,1,22.194283723831177
256,mumps,cpu_e5-2670,1,40.88060641288757
320,mumps,cpu_e5-2670,1,68.45686626434326
384,mumps,cpu_e5-2670,1,96.71368622779846
512,mumps,cpu_e5-2670,1,185.45330572128296
768,mumps,cpu_e5-2670,1,472.31812047958374
1024,mumps,cpu_e5-2670,1,955.0389120578766
64,superlu_dist,cpu_e5-2670,1,2.6337080001831055
64,superlu_dist,gpu_tesla_k40c,1,6.756699323654175
128,superlu_dist,cpu_e5-2670,1,9.902758359909058
128,superlu_dist,gpu_tesla_k40c,1,12.454558372497559
192,superlu_dist,cpu_e5-2670,1,24.81585693359375
192,superlu_dist,gpu_tesla_k40c,1,27.602631330490112
256,superlu_dist,cpu_e5-2670,1,46.78618788719177
256,superlu_dist,gpu_tesla_k40c,1,46.62232327461243
320,superlu_dist,cpu_e5-2670,1,77.14291572570801
320,superlu_dist,gpu_tesla_k40c,1,76.95014119148254
384,superlu_dist,cpu_e5-2670,1,114.36597084999084
384,superlu_dist,gpu_tesla_k40c,1,114.96293377876282
512,superlu_dist,cpu_e5-2670,1,217.44064021110535
512,superlu_dist,gpu_tesla_k40c,1,193.74588203430176
768,superlu_dist,cpu_e5-2670,1,618.9524667263031
768,superlu_dist,gpu_tesla_k40c,1,535.1204357147217
64,pastix,cpu_e5-2670,1,13.473194360733032
64,pastix,gpu_tesla_k40c,1,10.316092252731323
128,pastix,cpu_e5-2670,1,24.734176874160767
128,pastix,gpu_tesla_k40c,1,27.92270016670227
192,pastix,gpu_tesla_k40c,1,61.32752013206482
256,pastix,cpu_e5-2670,1,105.40173745155334
256,pastix,gpu_tesla_k40c,1,113.78859066963196
320,pastix,cpu_e5-2670,1,147.8107044696808
320,pastix,gpu_tesla_k40c,1,192.71536874771118
384,pastix,cpu_e5-2670,1,223.64982676506042
384,pastix,gpu_tesla_k40c,1,285.01992630958557
