mesh,solver,pe,threads,time
64,mumps,cpu_e5-2670,1,4.141698837280273
128,mumps,cpu_e5-2670,1,16.276403665542603
192,mumps,cpu_e5-2670,1,37.33027100563049
256,mumps,cpu_e5-2670,1,69.11205863952637
320,mumps,cpu_e5-2670,1,112.25118398666382
384,mumps,cpu_e5-2670,1,159.903959274292
512,mumps,cpu_e5-2670,1,299.67220163345337
64,superlu_dist,cpu_e5-2670,1,3.708432674407959
64,superlu_dist,gpu_tesla_k40c,1,6.16723370552063
128,superlu_dist,cpu_e5-2670,1,15.78674840927124
128,superlu_dist,gpu_tesla_k40c,1,18.614736080169678
192,superlu_dist,cpu_e5-2670,1,38.066646099090576
192,superlu_dist,gpu_tesla_k40c,1,39.35626935958862
256,superlu_dist,cpu_e5-2670,1,69.64182329177856
256,superlu_dist,gpu_tesla_k40c,1,69.81715273857117
320,superlu_dist,cpu_e5-2670,1,119.48089528083801
320,superlu_dist,gpu_tesla_k40c,1,115.87238097190857
384,superlu_dist,cpu_e5-2670,1,174.90493488311768
384,superlu_dist,gpu_tesla_k40c,1,168.7129089832306
512,superlu_dist,cpu_e5-2670,1,338.1197943687439
512,superlu_dist,gpu_tesla_k40c,1,320.7317292690277
64,pastix,cpu_e5-2670,1,13.623975992202759
64,pastix,gpu_tesla_k40c,1,11.984043598175049
128,pastix,cpu_e5-2670,1,45.13439702987671
128,pastix,gpu_tesla_k40c,1,34.49268698692322
192,pastix,cpu_e5-2670,1,102.53466749191284
192,pastix,gpu_tesla_k40c,1,78.33944725990295
256,pastix,cpu_e5-2670,1,180.84214854240417
256,pastix,gpu_tesla_k40c,1,138.90797090530396
320,pastix,cpu_e5-2670,1,272.16598534584045
320,pastix,gpu_tesla_k40c,1,234.2078456878662
384,pastix,cpu_e5-2670,1,416.9791717529297
384,pastix,gpu_tesla_k40c,1,353.64414048194885
