mesh,solver,pe,threads,runtime
64,mumps,cpu_e5-2665,1,12.00956916809082
128,mumps,cpu_e5-2665,1,14.059233665466309
192,mumps,cpu_e5-2665,1,27.40759515762329
256,mumps,cpu_e5-2665,1,48.09274673461914
320,mumps,cpu_e5-2665,1,77.40732049942017
384,mumps,cpu_e5-2665,1,108.2067232131958
512,mumps,cpu_e5-2665,1,202.14731669425964
768,mumps,cpu_e5-2665,1,507.2235538959503
1024,mumps,cpu_e5-2665,1,1023.7120852470398
64,superlu_dist,cpu_e5-2665,1,6.9213197231292725
64,superlu_dist,gpu_tesla_k20,1,10.256200790405273
128,superlu_dist,cpu_e5-2665,1,14.10866641998291
128,superlu_dist,gpu_tesla_k20,1,15.27461290359497
192,superlu_dist,cpu_e5-2665,1,30.41749906539917
192,superlu_dist,gpu_tesla_k20,1,31.14440631866455
256,superlu_dist,cpu_e5-2665,1,50.678831577301025
256,superlu_dist,gpu_tesla_k20,1,50.72890591621399
320,superlu_dist,cpu_e5-2665,1,85.43137550354004
320,superlu_dist,gpu_tesla_k20,1,82.88804459571838
384,superlu_dist,cpu_e5-2665,1,127.33117628097534
384,superlu_dist,gpu_tesla_k20,1,118.8365228176117
512,superlu_dist,cpu_e5-2665,1,225.3311185836792
512,superlu_dist,gpu_tesla_k20,1,200.30745124816895
768,superlu_dist,cpu_e5-2665,1,642.7043495178223
768,superlu_dist,gpu_tesla_k20,1,536.9289221763611
64,pastix,cpu_e5-2665,1,57.286861419677734
64,pastix,gpu_tesla_k20,1,14.4803307056427
128,pastix,cpu_e5-2665,1,31.903014183044434
128,pastix,gpu_tesla_k20,1,33.16798138618469
192,pastix,cpu_e5-2665,1,62.95565891265869
192,pastix,gpu_tesla_k20,1,63.93779993057251
256,pastix,cpu_e5-2665,1,107.7906768321991
256,pastix,gpu_tesla_k20,1,210.94764256477356
320,pastix,cpu_e5-2665,1,167.1360900402069
320,pastix,gpu_tesla_k20,1,205.16062140464783
384,pastix,cpu_e5-2665,1,236.33735156059265
384,pastix,gpu_tesla_k20,1,683.1071410179138
