mesh,solver,pe,threads,runtime
64,mumps,cpu_e5-2640v3,1,15.70815110206604
128,mumps,cpu_e5-2640v3,1,16.181737184524536
192,mumps,cpu_e5-2640v3,1,17.172972917556763
256,mumps,cpu_e5-2640v3,1,34.35307025909424
320,mumps,cpu_e5-2640v3,1,51.04444360733032
384,mumps,cpu_e5-2640v3,1,75.307870388031
512,mumps,cpu_e5-2640v3,1,143.6526916027069
768,mumps,cpu_e5-2640v3,1,358.18126797676086
1024,mumps,cpu_e5-2640v3,1,739.9026267528534
64,superlu_dist,cpu_e5-2640v3,1,7.2495503425598145
64,superlu_dist,gpu_tesla_k40,1,8.454866409301758
128,superlu_dist,cpu_e5-2640v3,1,13.15940809249878
128,superlu_dist,gpu_tesla_k40,1,10.287530422210693
192,superlu_dist,cpu_e5-2640v3,1,26.787630796432495
192,superlu_dist,gpu_tesla_k40,1,23.555869579315186
256,superlu_dist,cpu_e5-2640v3,1,47.92177081108093
256,superlu_dist,gpu_tesla_k40,1,46.20463228225708
320,superlu_dist,cpu_e5-2640v3,1,69.61234402656555
320,superlu_dist,gpu_tesla_k40,1,78.41121578216553
384,superlu_dist,cpu_e5-2640v3,1,108.5306875705719
384,superlu_dist,gpu_tesla_k40,1,106.48116683959961
512,superlu_dist,cpu_e5-2640v3,1,189.68503713607788
512,superlu_dist,gpu_tesla_k40,1,175.2282416820526
768,superlu_dist,cpu_e5-2640v3,1,541.9275197982788
768,superlu_dist,gpu_tesla_k40,1,488.4732999801636
64,pastix,cpu_e5-2640v3,1,13.632217407226562
64,pastix,gpu_tesla_k40,1,22.53343915939331
128,pastix,cpu_e5-2640v3,1,20.44562077522278
128,pastix,gpu_tesla_k40,1,23.78986930847168
192,pastix,cpu_e5-2640v3,1,38.59406757354736
192,pastix,gpu_tesla_k40,1,57.480963706970215
256,pastix,cpu_e5-2640v3,1,68.47589230537415
256,pastix,gpu_tesla_k40,1,117.73055100440979
320,pastix,cpu_e5-2640v3,1,108.09003639221191
320,pastix,gpu_tesla_k40,1,206.6047604084015
384,pastix,cpu_e5-2640v3,1,159.26288843154907
384,pastix,gpu_tesla_k40,1,368.7380795478821
