mesh,solver,pe,threads,runtime
64,mumps,cpu_e5-2640v4,1,18.14929699897766
128,mumps,cpu_e5-2640v4,1,10.737131357192993
192,mumps,cpu_e5-2640v4,1,15.072201013565063
256,mumps,cpu_e5-2640v4,1,27.28944182395935
320,mumps,cpu_e5-2640v4,1,44.22696352005005
384,mumps,cpu_e5-2640v4,1,64.05380702018738
512,mumps,cpu_e5-2640v4,1,122.72304034233093
768,mumps,cpu_e5-2640v4,1,301.6066586971283
1024,mumps,cpu_e5-2640v4,1,593.9072153568268
64,superlu_dist,cpu_e5-2640v4,1,2.7863240242004395
64,superlu_dist,gpu_tesla_p100,1,4.60798716545105
128,superlu_dist,cpu_e5-2640v4,1,8.19136929512024
128,superlu_dist,gpu_tesla_p100,1,9.054598093032837
192,superlu_dist,cpu_e5-2640v4,1,19.663037061691284
192,superlu_dist,gpu_tesla_p100,1,20.11619281768799
256,superlu_dist,cpu_e5-2640v4,1,33.62984657287598
256,superlu_dist,gpu_tesla_p100,1,33.874051332473755
320,superlu_dist,cpu_e5-2640v4,1,58.55255842208862
320,superlu_dist,gpu_tesla_p100,1,57.556281328201294
384,superlu_dist,cpu_e5-2640v4,1,88.79541659355164
384,superlu_dist,gpu_tesla_p100,1,84.46673631668091
512,superlu_dist,cpu_e5-2640v4,1,158.23144698143005
512,superlu_dist,gpu_tesla_p100,1,143.77901077270508
768,superlu_dist,cpu_e5-2640v4,1,449.90211367607117
768,superlu_dist,gpu_tesla_p100,1,406.1466507911682
1024,superlu_dist,cpu_e5-2640v4,1,904.8010275363922
1024,superlu_dist,gpu_tesla_p100,1,774.1425576210022
64,pastix,cpu_e5-2640v4,1,9.167702198028564
64,pastix,gpu_tesla_p100,1,7.529225587844849
128,pastix,cpu_e5-2640v4,1,15.165647983551025
128,pastix,gpu_tesla_p100,1,17.64342498779297
192,pastix,cpu_e5-2640v4,1,34.80765771865845
192,pastix,gpu_tesla_p100,1,41.45726466178894
256,pastix,cpu_e5-2640v4,1,61.12877416610718
256,pastix,gpu_tesla_p100,1,81.17498660087585
320,pastix,cpu_e5-2640v4,1,96.30580759048462
320,pastix,gpu_tesla_p100,1,153.1299750804901
384,pastix,cpu_e5-2640v4,1,141.49192476272583
384,pastix,gpu_tesla_p100,1,258.3138482570648
