mesh,solver,pe,threads,runtime
64,mumps,cpu_g-6130,1,15.456414699554443
128,mumps,cpu_g-6130,1,10.661380052566528
192,mumps,cpu_g-6130,1,14.601773023605347
256,mumps,cpu_g-6130,1,25.884060382843018
320,mumps,cpu_g-6130,1,42.08075141906738
384,mumps,cpu_g-6130,1,61.37421107292175
512,mumps,cpu_g-6130,1,119.80729484558105
768,mumps,cpu_g-6130,1,293.8999123573303
1024,mumps,cpu_g-6130,1,585.4944934844971
64,superlu_dist,cpu_g-6130,1,4.035516977310181
64,superlu_dist,gpu_tesla_v100,1,4.675455808639526
128,superlu_dist,cpu_g-6130,1,8.419830799102783
128,superlu_dist,gpu_tesla_v100,1,9.37779712677002
192,superlu_dist,cpu_g-6130,1,18.949411630630493
192,superlu_dist,gpu_tesla_v100,1,19.977052688598633
256,superlu_dist,cpu_g-6130,1,32.077545166015625
256,superlu_dist,gpu_tesla_v100,1,32.23635673522949
320,superlu_dist,cpu_g-6130,1,61.8883113861084
320,superlu_dist,gpu_tesla_v100,1,57.32529139518738
384,superlu_dist,cpu_g-6130,1,88.83150887489319
384,superlu_dist,gpu_tesla_v100,1,79.48962044715881
512,superlu_dist,cpu_g-6130,1,148.16230940818787
512,superlu_dist,gpu_tesla_v100,1,135.1715211868286
768,superlu_dist,cpu_g-6130,1,430.8345754146576
768,superlu_dist,gpu_tesla_v100,1,375.00763607025146
1024,superlu_dist,cpu_g-6130,1,913.9997794628143
1024,superlu_dist,gpu_tesla_v100,1,738.0239100456238
64,pastix,cpu_g-6130,1,10.204125165939331
64,pastix,gpu_tesla_v100,1,8.798582792282104
128,pastix,cpu_g-6130,1,24.01698613166809
128,pastix,gpu_tesla_v100,1,25.4947407245636
192,pastix,cpu_g-6130,1,50.39520335197449
192,pastix,gpu_tesla_v100,1,60.56150436401367
256,pastix,cpu_g-6130,1,86.58024621009827
256,pastix,gpu_tesla_v100,1,117.64832901954651
320,pastix,cpu_g-6130,1,136.63563227653503
320,pastix,gpu_tesla_v100,1,220.9681556224823
384,pastix,cpu_g-6130,1,197.24666738510132
384,pastix,gpu_tesla_v100,1,378.0696847438812
