mesh,solver,pe,threads,runtime
64,mumps,cpu_g-6130,1,17.4255952835083
128,mumps,cpu_g-6130,1,7.751865386962891
192,mumps,cpu_g-6130,1,14.869336128234863
256,mumps,cpu_g-6130,1,26.426548719406128
320,mumps,cpu_g-6130,1,43.09317946434021
384,mumps,cpu_g-6130,1,60.733452558517456
512,mumps,cpu_g-6130,1,114.68960666656494
768,mumps,cpu_g-6130,1,295.19931077957153
1024,mumps,cpu_g-6130,1,564.6445150375366
64,superlu_dist,cpu_g-6130,1,3.282613515853882
64,superlu_dist,gpu_tesla_v100,1,6.394440650939941
128,superlu_dist,cpu_g-6130,1,8.470149993896484
128,superlu_dist,gpu_tesla_v100,1,9.666167974472046
192,superlu_dist,cpu_g-6130,1,19.351415157318115
192,superlu_dist,gpu_tesla_v100,1,20.343700885772705
256,superlu_dist,cpu_g-6130,1,32.40743660926819
256,superlu_dist,gpu_tesla_v100,1,34.03773641586304
320,superlu_dist,cpu_g-6130,1,56.08198928833008
320,superlu_dist,gpu_tesla_v100,1,55.38594388961792
384,superlu_dist,cpu_g-6130,1,83.79034328460693
384,superlu_dist,gpu_tesla_v100,1,81.01187443733215
512,superlu_dist,cpu_g-6130,1,148.67725706100464
512,superlu_dist,gpu_tesla_v100,1,139.60520601272583
768,superlu_dist,cpu_g-6130,1,419.04149103164673
768,superlu_dist,gpu_tesla_v100,1,371.62153124809265
1024,superlu_dist,cpu_g-6130,1,841.1150074005127
1024,superlu_dist,gpu_tesla_v100,1,686.0087950229645
64,pastix,cpu_g-6130,1,8.683505773544312
64,pastix,gpu_tesla_v100,1,8.561263799667358
128,pastix,cpu_g-6130,1,18.73244571685791
128,pastix,gpu_tesla_v100,1,18.76365876197815
192,pastix,cpu_g-6130,1,38.38102984428406
192,pastix,gpu_tesla_v100,1,49.98774313926697
256,pastix,cpu_g-6130,1,66.7011206150055
256,pastix,gpu_tesla_v100,1,102.57978677749634
320,pastix,cpu_g-6130,1,102.2325689792633
320,pastix,gpu_tesla_v100,1,184.83133244514465
384,pastix,cpu_g-6130,1,157.25347661972046
384,pastix,gpu_tesla_v100,1,334.8844892978668
