mesh,solver,ntasks,ntasks_per_node,threads,runtime
256,mumps,16,4,1,23.155352354049683
512,mumps,16,4,1,83.81878685951233
256,superlu_dist,16,4,1,29.513751983642578
512,superlu_dist,16,4,1,111.87344098091125
256,pastix,16,4,1,221.70018601417542
256,mumps,32,4,1,22.795578479766846
512,mumps,32,4,1,65.32736539840698
256,superlu_dist,32,4,1,33.60347890853882
512,superlu_dist,32,4,1,100.67156076431274
256,pastix,32,4,1,223.89872694015503
256,mumps,4,4,1,47.31940054893494
512,mumps,4,4,1,404.1123957633972
256,superlu_dist,4,4,1,46.34501934051514
512,superlu_dist,4,4,1,426.02238488197327
256,pastix,4,4,1,228.00785303115845
256,mumps,64,4,1,38.58348059654236
512,mumps,64,4,1,67.9933340549469
256,superlu_dist,64,4,1,67.65685200691223
512,superlu_dist,64,4,1,139.4061176776886
256,pastix,64,4,1,260.39642453193665
256,mumps,8,4,1,41.06397604942322
512,mumps,8,4,1,156.54118990898132
256,superlu_dist,8,4,1,30.80803871154785
512,superlu_dist,8,4,1,179.85723209381104
256,pastix,8,4,1,222.05210733413696
