mesh,solver,ntasks,ntasks_per_node,threads,runtime
256,superlu_dist,16,8,1,33.3161301612854
512,superlu_dist,16,8,1,118.4132194519043
256,superlu_dist,1,8,1,55.30014395713806
512,superlu_dist,1,8,1,232.88298749923706
768,superlu_dist,1,8,1,653.1500191688538
256,superlu_dist,32,8,1,54.85076570510864
512,superlu_dist,32,8,1,104.77158975601196
256,superlu_dist,64,8,1,61.411425828933716
512,superlu_dist,64,8,1,156.67112708091736
256,superlu_dist,8,8,1,32.95578169822693
512,superlu_dist,8,8,1,169.83878374099731
